date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:48:33	31268/31268	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-BoldItalic.woff2	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BoldItalic.html	(from https://zenon.network/css/styles.css)
21:48:33	42500/42500	---MCZ	200	added ('OK')	application/font-woff	date:Sun,%2022%20Aug%202021%2009:42:13%20GMT	https://zenon.network/fonts/CircularStd-BoldItalic.woff	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BoldItalic.woff	(from https://zenon.network/css/styles.css)
21:48:34	85848/85848	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/CircularStd-BoldItalic.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/CircularStd-BoldItalic.ttf	(from https://zenon.network/css/styles.css)
21:48:34	55464/55464	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Presicav-W00-Regular.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Presicav-W00-Regular.eot	(from https://zenon.network/css/styles.css)
21:48:35	55464/55464	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Presicav-W00-Regular.eot?	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Presicav-W00-Regulard41d.eot	(from https://zenon.network/css/styles.css)
21:48:36	20760/20760	---M--	200	added ('OK')	text/html	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Presicav-W00-Regular.woff2	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Presicav-W00-Regular.html	(from https://zenon.network/css/styles.css)
21:48:36	28412/28412	---MCZ	200	added ('OK')	application/font-woff	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Presicav-W00-Regular.woff	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Presicav-W00-Regular.woff	(from https://zenon.network/css/styles.css)
21:48:39	55248/55248	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Presicav-W00-Regular.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Presicav-W00-Regular.ttf	(from https://zenon.network/css/styles.css)
21:48:39	129612/129612	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Circula-Medium.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Circula-Medium.ttf	(from https://zenon.network/css/styles.css)
21:48:40	124584/124584	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Circula-Bold.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Circula-Bold.ttf	(from https://zenon.network/css/styles.css)
21:48:42	127400/127400	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Circula-Light.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Circula-Light.ttf	(from https://zenon.network/css/styles.css)
21:48:43	120364/120364	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Circula-Heavy.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Circula-Heavy.ttf	(from https://zenon.network/css/styles.css)
21:48:43	126612/126612	---MCZ	200	added ('OK')	application/font-sfnt	date:Sun,%2022%20Aug%202021%2009:42:14%20GMT	https://zenon.network/fonts/Circula-Thin.ttf	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/fonts/Circula-Thin.ttf	(from https://zenon.network/css/styles.css)
21:48:46	32500/32500	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2009:42:15%20GMT	https://zenon.network/img/znn.png	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/img/znn.png	(from https://zenon.network/css/styles.css)
21:48:46	203404/203404	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2009:42:15%20GMT	https://zenon.network/img/circle-left.png	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/img/circle-left.png	(from https://zenon.network/css/styles.css)
21:48:47	1025189/1025189	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2009:42:16%20GMT	https://zenon.network/img/elipsis.png	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/img/elipsis.png	(from https://zenon.network/css/styles.css)
21:48:47	52344/52344	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2009:42:15%20GMT	https://zenon.network/img/pillar-bg.png	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/img/pillar-bg.png	(from https://zenon.network/css/styles.css)
21:48:48	99704/99704	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2022%20Aug%202021%2009:42:20%20GMT	https://zenon.network/webfonts/fa-brands-400.eot	C:/Users/Maykol%20Vega/Desktop/pruebotas/cere/zenon.network/webfonts/fa-brands-400.eot	(from https://zenon.network/css/fontawesome-all.min.css)
